energy,axis,section,layer,mu1,sigma1,amp1,mu2,sigma2,amp2
200,x,1,4,515.19,36.27,141.76,515.36,235.88,76.85
200,x,1,5,497.26,38.99,124.58,497.7,256.07,64.44
200,y,0,0,272.52,19.17,386.04,262.4,129.66,209.92
200,y,0,1,277.14,23.49,294.84,265.27,152.25,179.94
200,y,0,2,281.01,26.12,221.19,271.67,170.82,142.89
200,y,0,3,283.45,26.92,177.2,272.75,178.27,131.27
200,y,0,4,285.59,29.15,155.84,274.29,190.3,117.39
200,y,0,5,282.44,34.57,118.88,275.29,199.36,104.29
200,y,1,0,273.08,18.69,390.49,260.12,126.15,214.39
200,y,1,1,277.27,21.12,304.08,260.45,147.16,187.45
200,y,1,2,279.74,25.18,216.98,264.29,166.93,148.52
200,y,1,3,281.33,30.52,178.77,262.88,194.5,121.71
200,y,1,4,282.51,31.41,153.82,263.74,194.16,114.31
200,y,1,5,280.12,33.65,129.55,264.58,199.06,102.38
